,non_dc_emdr13.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr12.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr5.mrc,non_dc_emdr4.mrc,non_dc_emdr16.mrc,non_dc_emdr17.mrc,non_dc_emdr25.mrc,non_dc_emdr24.mrc
dc_emdr7197.mrc,0.00%,0.00%,0.14%,0.00%,0.06%,5.17%,50.11%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr4064.mrc,0.00%,7.62%,0.00%,0.00%,0.00%,0.71%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%
dc_emdr3336.mrc,65.58%,0.08%,0.00%,0.00%,0.27%,0.00%,0.00%,10.64%,0.00%,0.00%,0.00%,0.00%
dc_emdr4275.mrc,0.00%,0.00%,1.88%,0.00%,88.02%,0.17%,0.00%,1.53%,6.81%,0.00%,0.00%,94.17%
dc_emdr4003.mrc,1.43%,30.36%,0.00%,0.00%,0.00%,0.47%,0.00%,1.53%,0.00%,83.88%,0.00%,0.00%
dc_emdr4002.mrc,0.00%,57.18%,0.00%,0.00%,0.03%,3.41%,0.00%,2.42%,0.00%,0.00%,0.00%,0.00%
dc_emdr3396.mrc,32.86%,1.91%,0.00%,0.00%,1.14%,0.35%,0.00%,54.59%,0.00%,0.00%,0.00%,5.71%
dc_emdr3395.mrc,0.00%,0.01%,0.00%,0.00%,4.88%,0.03%,0.00%,28.95%,0.00%,0.00%,0.00%,0.00%
dc_emdr6227.mrc,0.00%,2.42%,0.00%,0.00%,0.00%,88.08%,1.60%,0.00%,0.00%,15.97%,88.89%,0.00%
dc_emdr6523.mrc,0.00%,0.00%,32.49%,0.29%,0.96%,0.00%,1.27%,0.00%,93.07%,0.00%,0.00%,0.00%
dc_emdr7198.mrc,0.00%,0.00%,2.04%,99.55%,0.00%,1.18%,43.34%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr6522.mrc,0.00%,0.00%,63.02%,0.00%,4.26%,0.08%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%
