,non_dc_emdr13.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr12.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr5.mrc,non_dc_emdr4.mrc,non_dc_emdr16.mrc,non_dc_emdr17.mrc,non_dc_emdr25.mrc,non_dc_emdr24.mrc
dc_emdr7197.mrc,0.00%,0.00%,2.18%,99.55%,0.06%,6.35%,93.45%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr4275.mrc,0.00%,0.00%,1.88%,0.00%,88.02%,0.17%,0.00%,1.53%,6.81%,0.00%,0.00%,94.17%
dc_emdr16663.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr15807.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr13325.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr4002.mrc,1.43%,95.17%,0.00%,0.00%,0.03%,4.59%,0.00%,3.99%,0.00%,83.88%,0.00%,0.00%
dc_emdr3396.mrc,98.44%,1.99%,0.00%,0.00%,6.30%,0.38%,0.00%,94.18%,0.00%,0.00%,0.00%,5.71%
dc_emdr14098.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr16074.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr13854.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr6227.mrc,0.00%,2.42%,0.00%,0.00%,0.00%,88.08%,1.60%,0.00%,0.00%,15.97%,88.89%,0.00%
dc_emdr6522.mrc,0.00%,0.00%,95.51%,0.29%,5.22%,0.08%,4.68%,0.00%,93.07%,0.00%,0.00%,0.00%
