,non_dc_emdr60.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr27.mrc,non_dc_emdr87.mrc,non_dc_emdr82.mrc,,
dc_emdr6099.mrc,69.64%,0.04%,0.87%,0.17%,0.07%,0.00%,0.00%,0.00%,,
dc_emdr7280.mrc,0.20%,94.98%,0.11%,4.34%,1.76%,8.80%,98.12%,11.02%,,
dc_emdr6991.mrc,0.00%,0.93%,0.18%,0.00%,0.00%,83.22%,0.00%,0.00%,,
dc_emdr8636.mrc,22.21%,0.19%,74.76%,0.36%,0.73%,4.45%,0.00%,0.12%,,
dc_emdr7088.mrc,0.18%,2.73%,0.56%,94.55%,0.03%,0.00%,0.00%,0.77%,,
dc_emdr8815.mrc,0.00%,0.16%,21.40%,0.00%,0.00%,3.26%,0.00%,0.00%,,
dc_emdr9882.mrc,0.00%,0.39%,0.02%,0.26%,0.20%,0.00%,1.63%,87.51%,,
dc_emdr8911.mrc,7.58%,0.27%,1.81%,0.03%,97.02%,0.00%,0.00%,0.28%,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
